Scenario,RMSE,MAE,R²,MAPE (%)
Baseline,16.997230189383057,12.261515219295285,0.646920254406989,7.02867481357448
Scenario A,17.833083451365408,13.163340829952162,0.6113404202137254,7.626332960278799
Scenario AB,18.634115603124133,14.007390529407843,0.5756403682110214,8.179626622783255
Scenario ABC,18.206165726215584,13.358190905346117,0.5949081773999606,7.681501856995814
